post_datetime,views,likes,comments,shares,engagement_rate,sentiment_score,platform_Instagram,platform_TikTok,platform_X,platform_YouTube Shorts,content_type_carousel,content_type_image,content_type_text,content_type_video,topic_Education,topic_Entertainment,topic_Lifestyle,topic_Politics,topic_Sports,topic_Technology,language_en,language_es,language_fr,language_hi,language_ur,region_Brazil,region_India,region_Pakistan,region_UK,region_US,is_viral
1.556297615650364,-0.6057091823290136,-0.8501690196372751,-0.6228086315669864,-1.6919505688628802,-0.18316383062514885,0.8082682224908647,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
1.005777154037136,-0.5381171355881386,-0.9307918438829665,-0.9354281856992906,0.17065754695006513,-0.16504394557382454,-1.3908809482488527,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
-0.5413751777379702,-0.996395415386566,-1.087830484436807,1.5529846562933165,-0.20013337382082716,0.023066613670335818,0.7247562286653058,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0.3413559072625506,0.30399517891341526,0.5802619562674404,-1.6641345948549502,0.33783236562212987,-0.15663781333351948,1.526819336031611,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
-0.8830775332220427,-0.3385128871660556,-0.31854804775270423,-1.3493666908715924,1.1435053574859124,-0.1261889343297477,0.3889684201583711,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1.1861200638759521,0.6867026897751989,1.5167212329614286,0.18698065906391054,-0.837011168279283,-0.14617684876780646,-1.577043101151661,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
-0.19018109015711784,-1.3001177670803272,-1.672335615116584,-1.7043295275520765,1.1969433795402948,2.206979769701596,-0.4078751875938366,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.25593031839153246,-0.4077907139769489,0.5773791213200752,0.4691075056328777,-1.3287788757526449,-0.06024749697802121,0.3750497545207779,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
-1.1203708356415376,-0.11342997260804445,1.6846153333409932,-0.7124156108383385,1.2886154444710065,-0.012799550554965853,1.5389981684645049,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
0.9298432972628978,-0.3600139011499339,-0.03862339501667994,-1.1330070703880957,-0.239091415705635,-0.12039804323087089,-1.6831729266383086,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1.29052911694053,-0.38517735013879056,0.05222038949694261,-0.09001786850576811,-0.04761091603464143,-0.09480604063260875,-1.6187990980644404,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
-1.5569905120934082,-0.776785508615735,-1.1390111498540247,0.771886231415196,1.4525150295332865,-0.07444452031720313,0.5664314070376838,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
-1.7088582256418847,0.9365204442784922,0.2508463380235391,-1.6466705896141298,0.9395789700977369,-0.20315174506320757,0.1627901035474824,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
-0.503408249350851,-0.15481123596817994,-0.5062219821730426,-1.0457563457920924,-0.14404068873535605,-0.1826034218091285,0.957893878094991,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
0.7020417269401827,-0.8350042360859187,-0.3342174281364691,0.851236572687971,1.4534114092580697,0.09181009510216404,0.3419929236314942,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
-1.4430897269320506,-1.2235052100945643,-1.6117340106130007,0.3011204076021294,-0.3288672927569975,0.18782680558031548,0.07405861010782609,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
